seed,trial,correct,action
42,1,false,1
42,2,false,2
42,3,true,1
42,4,false,1
42,5,true,1
42,6,false,1
42,7,false,1
42,8,true,2
42,9,true,2
42,10,true,2
42,11,true,2
42,12,true,2
42,13,false,2
42,14,true,2
42,15,false,2
42,16,false,2
42,17,false,2
42,18,false,2
42,19,false,2
42,20,true,2
42,21,false,2
42,22,true,1
42,23,true,1
42,24,false,1
42,25,false,2
42,26,true,1
42,27,true,1
42,28,true,1
42,29,false,1
42,30,true,1
42,31,false,1
42,32,false,2
42,33,false,1
42,34,true,2
42,35,false,1
42,36,false,2
42,37,true,1
42,38,true,1
42,39,false,1
42,40,false,2
42,41,false,1
42,42,true,1
42,43,true,1
42,44,false,1
42,45,false,2
42,46,true,1
42,47,false,2
42,48,true,2
42,49,false,1
42,50,false,1
42,51,false,2
42,52,false,2
42,53,true,2
42,54,true,2
42,55,true,2
42,56,true,2
42,57,false,2
42,58,false,2
42,59,false,2
42,60,true,1
42,61,false,1
42,62,false,1
42,63,true,2
42,64,false,2
42,65,false,2
42,66,true,2
42,67,false,2
42,68,true,2
42,69,true,2
42,70,false,2
42,71,true,1
42,72,false,1
42,73,false,1
42,74,false,2
42,75,false,2
42,76,false,1
42,77,false,2
42,78,true,1
42,79,true,1
42,80,true,1
42,81,false,1
42,82,true,1
42,83,true,1
42,84,false,1
42,85,false,1
42,86,true,1
42,87,true,1
42,88,true,1
42,89,false,1
42,90,true,1
42,91,false,1
42,92,true,1
42,93,false,1
42,94,false,1
42,95,true,1
42,96,false,1
42,97,false,1
42,98,false,1
42,99,true,1
42,100,true,1
42,101,false,1
42,102,false,1
42,103,true,1
42,104,true,1
42,105,false,1
42,106,true,2
42,107,false,2
42,108,false,2
42,109,false,2
42,110,true,1
42,111,false,2
42,112,true,1
42,113,true,1
42,114,false,1
42,115,true,1
42,116,true,1
42,117,true,1
42,118,false,1
42,119,false,1
42,120,false,1
42,121,true,1
42,122,false,1
42,123,true,1
42,124,true,1
42,125,false,1
42,126,false,1
42,127,false,1
42,128,true,2
42,129,false,1
42,130,false,2
42,131,false,2
42,132,true,1
42,133,false,1
42,134,false,1
42,135,false,1
42,136,false,1
42,137,false,1
42,138,true,1
42,139,true,2
42,140,true,1
42,141,false,1
42,142,true,1
42,143,false,1
42,144,true,2
42,145,false,2
42,146,true,2
42,147,false,2
42,148,true,1
42,149,true,1
42,150,false,1
42,151,true,1
42,152,false,1
42,153,false,2
42,154,true,1
42,155,false,1
42,156,true,1
42,157,false,2
42,158,true,1
42,159,true,1
42,160,false,1
42,161,true,1
42,162,false,1
42,163,true,2
42,164,true,1
42,165,true,1
42,166,true,1
42,167,false,1
42,168,false,1
42,169,true,2
42,170,true,2
42,171,false,2
42,172,false,1
42,173,false,1
42,174,false,2
42,175,true,2
42,176,false,2
42,177,false,1
42,178,false,1
42,179,true,2
42,180,true,2
42,181,true,2
42,182,true,2
42,183,false,2
42,184,false,2
42,185,true,2
42,186,false,2
42,187,false,2
42,188,false,2
42,189,false,2
42,190,true,2
42,191,false,2
42,192,false,2
42,193,false,2
42,194,true,1
42,195,true,1
42,196,true,1
42,197,true,1
42,198,true,1
42,199,true,1
42,200,false,1
42,201,true,1
42,202,false,1
42,203,true,1
42,204,false,1
42,205,true,2
42,206,true,2
42,207,true,2
42,208,true,2
42,209,false,2
42,210,true,2
42,211,false,2
42,212,false,1
42,213,true,1
42,214,false,1
42,215,false,2
42,216,true,1
42,217,false,1
42,218,true,2
42,219,true,2
42,220,true,2
42,221,false,2
42,222,false,2
42,223,true,2
42,224,true,2
42,225,true,2
42,226,false,2
42,227,false,1
42,228,false,1
42,229,true,1
42,230,true,1
42,231,true,1
42,232,true,1
42,233,true,1
42,234,false,1
42,235,true,1
42,236,false,1
42,237,false,1
42,238,true,2
42,239,true,1
42,240,true,1
42,241,true,1
42,242,true,1
42,243,false,1
42,244,false,1
42,245,false,2
42,246,false,1
42,247,true,2
42,248,true,2
42,249,true,2
42,250,false,2
42,251,true,2
42,252,true,2
42,253,true,2
42,254,false,2
42,255,true,2
42,256,false,2
42,257,false,1
42,258,false,2
42,259,true,1
42,260,false,1
42,261,true,1
42,262,false,2
42,263,false,1
42,264,true,2
42,265,true,1
42,266,true,2
42,267,false,2
42,268,true,2
42,269,false,2
42,270,true,1
42,271,false,1
42,272,false,2
42,273,false,2
42,274,false,1
42,275,true,1
42,276,true,1
42,277,true,2
42,278,false,2
42,279,false,1
42,280,true,2
42,281,false,2
42,282,true,1
42,283,false,1
42,284,true,2
42,285,false,1
42,286,false,2
42,287,true,1
42,288,true,1
42,289,true,1
42,290,true,1
42,291,true,1
42,292,true,1
42,293,false,1
42,294,false,1
42,295,true,2
42,296,true,2
42,297,true,2
42,298,false,2
42,299,false,1
42,300,false,1
42,301,false,2
42,302,true,2
42,303,false,2
42,304,true,2
42,305,false,1
42,306,false,2
42,307,true,2
42,308,false,2
42,309,true,2
42,310,false,2
42,311,false,2
42,312,false,1
42,313,true,1
42,314,true,1
42,315,false,1
42,316,true,1
42,317,true,1
42,318,false,1
42,319,false,2
42,320,true,1
42,321,false,1
42,322,false,1
42,323,false,1
42,324,true,1
42,325,false,1
42,326,false,1
42,327,true,1
42,328,true,2
42,329,true,1
42,330,true,1
42,331,true,1
42,332,false,1
42,333,false,1
42,334,false,2
42,335,true,2
42,336,true,2
42,337,true,2
42,338,false,2
42,339,true,1
42,340,true,1
42,341,false,1
42,342,false,2
42,343,true,2
42,344,true,1
42,345,false,2
42,346,true,1
42,347,true,1
42,348,false,1
42,349,false,1
42,350,true,1
42,351,true,1
42,352,false,1
42,353,true,1
42,354,true,1
42,355,true,1
42,356,false,1
42,357,false,1
42,358,false,2
42,359,true,1
42,360,true,1
42,361,true,1
42,362,false,1
42,363,false,1
42,364,false,1
42,365,false,2
42,366,true,2
42,367,false,2
42,368,false,1
42,369,false,1
42,370,true,2
42,371,true,2
42,372,false,2
42,373,false,1
42,374,true,1
42,375,true,1
42,376,false,1
42,377,true,1
42,378,true,1
42,379,false,1
42,380,true,1
42,381,true,2
42,382,false,2
42,383,false,1
42,384,true,1
42,385,true,2
42,386,false,1
42,387,true,2
42,388,true,2
42,389,true,2
42,390,true,2
42,391,true,2
42,392,false,2
42,393,false,2
42,394,true,1
42,395,false,1
42,396,false,2
42,397,true,1
42,398,true,1
42,399,true,1
42,400,true,1
42,401,true,1
42,402,true,1
42,403,true,1
42,404,false,1
42,405,false,1
42,406,true,1
42,407,false,1
42,408,false,2
42,409,false,2
42,410,true,1
42,411,true,1
42,412,false,1
42,413,false,1
42,414,true,1
42,415,false,1
42,416,true,2
42,417,false,2
42,418,false,2
42,419,false,2
42,420,true,1
42,421,false,1
42,422,false,2
42,423,false,2
42,424,true,1
42,425,true,1
42,426,false,1
42,427,true,1
42,428,true,1
42,429,true,1
42,430,false,1
42,431,true,1
42,432,false,1
42,433,true,2
42,434,false,2
42,435,false,2
42,436,true,2
42,437,false,2
42,438,false,2
42,439,false,2
42,440,true,1
42,441,true,1
42,442,false,1
42,443,false,1
42,444,false,1
42,445,false,1
42,446,false,2
42,447,false,1
42,448,false,2
42,449,false,1
42,450,false,1
42,451,true,2
42,452,false,2
